$(function(){Sacknet.MileageGraph.SetupMileageGraph(/Stats/UpdateMileageGraph/726, null, 3/13/2012, 62.2
3/14/2012, 2.6, 3/14/2012, 75.4
3/18/2012, 5.5, 3/18/2012, 295.3
3/19/2012, 5.5, 3/19/2012, 295.3
3/20/2012, 5.5, 3/20/2012, 295.3
3/21/2012, 5.5, 3/21/2012, 295.3
3/22/2012, 5.5, 3/22/2012, 295.3
3/23/2012, 5.5, 3/23/2012, 300.3
3/24/2012, 8.8, 3/24/2012, 353.8
3/25/2012, 8.8, 3/25/2012, 405.7
3/26/2012, 8.8, 3/26/2012, 417.4
3/27/2012, 8.8, 3/27/2012, 429.7
3/28/2012, 8.8, 3/28/2012, 429.7
3/29/2012, 8.8, 3/29/2012, 429.7
3/30/2012, 8.8, 3/30/2012, 429.7
3/31/2012, 8.8, 3/31/2012, 469.9
4/1/2012, 8.8, 4/1/2012, 541.9
4/2/2012, 8.8, 4/2/2012, 554.4
4/3/2012, 8.8, 4/3/2012, 614.7
4/4/2012, 8.8, 4/4/2012, 658.5
4/5/2012, 8.8, 4/5/2012, 658.5
4/6/2012, 10.1, 4/6/2012, 721.8
4/7/2012, 10.0, 4/7/2012, 791.5
4/8/2012, 11.9, 4/8/2012, 842.2
4/9/2012, 11.9, 4/9/2012, 866.8
4/10/2012, 11.9, 4/10/2012, 878.8
4/11/2012, 11.9, 4/11/2012, 943.6
4/12/2012, 11.9, 4/12/2012, 947.0
4/13/2012, 11.9, 4/13/2012, 978.9
4/14/2012, 11.9, 4/14/2012, 1043.2
4/15/2012, 11.9, 4/15/2012, 1095.9
4/16/2012, 11.9, 4/16/2012, 1142.1
4/17/2012, 11.9, 4/17/2012, 1186.7
4/18/2012, 11.9, 4/18/2012, 1271.2
4/19/2012, 11.9, 4/19/2012, 1322.4
4/20/2012, 11.9, 4/20/2012, 1368.6
4/21/2012, 11.9, 4/21/2012, 1380.6
4/22/2012, 11.9, 4/22/2012, 1380.6
4/23/2012, 11.9, 4/23/2012, 1380.6
4/24/2012, 11.9, 4/24/2012, 1380.6
4/25/2012, 11.8, 4/25/2012, 1451.8
4/26/2012, 14.0, 4/26/2012, 1470.0
4/27/2012, 14.0, 4/27/2012, 1470.0
4/28/2012, 14.0, 4/28/2012, 1470.0
4/29/2012, 14.0, 4/29/2012, 1470.0
4/30/2012, 14.0, 4/30/2012, 1470.0
5/1/2012, 14.0, 5/1/2012, 1527.3
5/2/2012, 14.0, 5/2/2012, 1537.9
5/3/2012, 14.0, 5/3/2012, 1547.6
5/4/2012, 14.0, 5/4/2012, 1547.6
5/5/2012, 18.9, 5/5/2012, 1604.1
5/6/2012, 64.3, 5/6/2012, 1656.8
5/7/2012, 64.3, 5/7/2012, 1667.8
5/8/2012, 64.3, 5/8/2012, 1692.3
5/9/2012, 64.3, 5/9/2012, 1760.8
5/10/2012, 64.3, 5/10/2012, 1765.2
5/11/2012, 64.3, 5/11/2012, 1788.3
5/12/2012, 64.3, 5/12/2012, 1798.9
5/13/2012, 84.2, 5/13/2012, 1843.7
5/14/2012, 84.2, 5/14/2012, 1925.8
5/15/2012, 84.2, 5/15/2012, 1969.7
5/16/2012, 105.4, 5/16/2012, 2015.5
5/17/2012, 105.4, 5/17/2012, 2078.0
5/18/2012, 105.4, 5/18/2012, 2138.9
5/19/2012, 105.4, 5/19/2012, 2153.3
5/20/2012, 120.4, 5/20/2012, 2211.2
5/21/2012, 120.4, 5/21/2012, 2257.2
5/22/2012, 120.4, 5/22/2012, 2302.2
